Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7hDVYcQq6MxkdJGweuCtl9,"ocean eyes","dont smile at me","Billie Eilish",2017-12-22,200379,83,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-23T16:29:00Z,"","Darkroom",0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,4
spotify:track:6Ec5LeRzkisa5KJtwLfOoW,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)","Metro Boomin;A$AP Rocky;Roisee",2023-06-02,256026,76,false,31fk7r2twiddpapb5cqweuygxwky,2025-08-29T17:13:47Z,"rap","Republic Records",0.6,0.537,9,-7.777,0,0.0362,0.0468,0.0038,0.206,0.126,90.061,4
spotify:track:0qWFmXLCsisEfVJzVyShfk,"YAD","YAD","Vanna Rainelle",2024-06-07,180793,72,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-02T04:10:33Z,"dark r&b","Vanna Rainelle",0.565,0.333,7,-17.166,0,0.0464,0.274,0.0002,0.0791,0.237,74.981,4
spotify:track:7uH88hqUq0zh1Khx4xXMxq,"Callin' U (Tamally Maak)","WOLEDTO","Elyanna",2024-04-12,116492,67,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-03T15:38:19Z,"","Elyanna",0.597,0.585,5,-4.724,0,0.0761,0.602,0.0000421,0.0872,0.449,89.969,4
spotify:track:5N3hjp1WNayUPZrA8kJmJP,"Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,186365,79,true,31fk7r2twiddpapb5cqweuygxwky,2025-09-04T04:54:02Z,"pop","Island Records",0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
spotify:track:2yWlGEgEfPot0lv3OAjuG3,"Just Keep Watching (From F1® The Movie)","Just Keep Watching (From F1® The Movie)","Tate McRae;F1 The Album",2025-05-30,142550,90,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-04T05:16:23Z,"","Atlantic Records",0.656,0.796,9,-5.856,0,0.113,0.0767,0,0.509,0.425,129.956,4
spotify:track:5Cp75TUMrHF6c8xbhdligS,"Golden","Golden (from the Netflix film KPop Demon Hunters)","HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast",2025-06-19,194607,81,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-04T05:54:08Z,"k-pop","K-Pop Demon Hunters",0.723,0.674,4,-4.515,0,0.0603,0.0998,0,0.267,0.0972,122.879,3
spotify:track:50kpGaPAhYJ3sGmk6vplg0,"Love Yourself","Purpose (Deluxe)","Justin Bieber",2015-11-13,233720,85,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-04T19:24:30Z,"","RBMG/Def Jam",0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.43,4
spotify:track:2AX5E86cn9n2dgioZEjirI,"Golden Brown","La Folie","The Stranglers",1981,206760,81,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-10T19:42:05Z,"proto-punk,new wave","Parlophone UK",0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3
spotify:track:42VUCXerQ5qTr4Qp6PhKo4,"Tears","Man’s Best Friend","Sabrina Carpenter",2025-08-29,160183,92,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-11T04:31:51Z,"pop","Island Records",0.699,0.876,0,-4.855,1,0.0514,0.0204,0.000105,0.0307,0.485,113.036,4
spotify:track:1FwPQVMtOoNMZ2lRyd7FXa,"Under The Influence","Under The Influence","Chris Brown",2022-09-06,184203,46,true,31fk7r2twiddpapb5cqweuygxwky,2025-09-11T04:32:10Z,"r&b","Chris Brown Entertainment/RCA Records",0.753,0.576,9,-8.86,0,0.0358,0.0191,0.000119,0.238,0.38,116.928,4
spotify:track:7DY756WOLyOz2Xnhw4EFiC,"São Paulo (feat. Anitta)","Hurry Up Tomorrow","The Weeknd;Anitta",2025-01-31,301623,85,true,31fk7r2twiddpapb5cqweuygxwky,2025-09-16T03:13:03Z,"brazilian pop,funk pop,brazilian funk,funk carioca,pagode baiano","XO / Republic Records",0.538,0.658,5,-7.273,0,0.076,0.0385,0.000146,0.573,0.553,127.322,4
spotify:track:5nQA7m7xypeL7dFaGRwJO5,"Timro Pratiksa","Timro Pratiksa","Shallum Lama",2023-11-29,241616,58,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-16T15:35:48Z,"","Sony Music Entertainment India Pvt. Ltd.",0.526,0.315,2,-13.191,1,0.0322,0.514,0.00000479,0.152,0.199,145.011,3
spotify:track:6Wobsw9uZ0D0xkfOjxXSq9,"Messy (From F1® The Movie)","Messy (From F1® The Movie)","ROSÉ;F1 The Album",2025-05-08,179055,80,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-17T12:51:45Z,"k-pop","Atlantic Records",0.562,0.643,5,-5.739,1,0.0422,0.0442,0,0.0965,0.277,96.92,4
spotify:track:6zvHwijlnwqjS6d46yAffi,"Paro","Paro","Nej",2021-05-21,204695,62,false,31fk7r2twiddpapb5cqweuygxwky,2025-09-18T17:11:22Z,"french r&b,moroccan pop","Miel Noir",0.592,0.605,0,-6.159,0,0.0432,0.342,0.00012,0.103,0.419,81.98,4
